asset_name,likely_use,typology,context_family,era_character,storeys,bay_count,roof_type,primary_material,prominence,keep_status,what_works,what_clashes,replacement_group,duplicate_geometry_group,notes
building_crazy_golf,leisure,landscape_attraction,village_edge,contemporary,0,0,open_landscape,hedge_and_paving,accent,missing,"Readable square footprint and clean silhouette","Exact Duck Pond geometry; contains a pond rather than crazy golf; no architectural identity",leisure_landscape_01,duck_pond_shell,"Missing model: every catalogue entry requires unique geometry"
building_duck_pond,nature,ornamental_pond,village_edge,contemporary,0,0,open_landscape,hedge_and_paving,accent,minor_rework,"Legible from isometric view; clean bounded footprint","Very bright clipped hedge geometry and minimal regional cues",nature_water_01,duck_pond_shell,"Retain as a landscape prop after palette and edge treatment"
building_garage,industrial,small_business_unit,industrial_edge,late_20c,2,3,flat,brick_and_corrugated_metal,background,minor_rework,"Useful modest industrial shell; clear materials; mesh-friendly mass","Office-like upper floor and fixed signage weaken garage reading",industrial_edge_01,acme_business_park_shell,"Strongest intended use of this shared shell"
building_lumber_mill,industrial,sawmill_cluster,industrial_edge,victorian_to_contemporary,2,3,flat,brick_and_corrugated_metal,accent,missing,"Existing placeholder is readable and mesh-friendly","Exact Garage geometry; no timber yard sawtooth roof extraction or external working character",industrial_edge_02,acme_business_park_shell,"Missing model: create distinct long-span sawmill geometry"
building_members_club,hospitality,members_club,georgian_formal,victorian,3,7,complex_victorian,red_brown_stone,accent,missing,"High-quality placeholder façade rhythm","Exact Town Hall geometry; clock tower and monumental civic frontage conflict with private club",georgian_formal_02,clocktower_city_hall_shell,"Missing model: create unique townhouse or institutional-club geometry"
building_nature_patch,nature,wildlife_garden,village_edge,contemporary,0,0,open_landscape,soil_planting,background,minor_rework,"Distinct planting palette and clear base","Dense overlapping vegetation is poor for mesh extraction",nature_patch_01,nature_patch_shell,"Simplify plant masses and reduce thin stems"
building_nightclub,leisure,nightclub,high_street,late_20c,1,5,flat_with_clock_tower,red_brick,accent,replace,"Strong horizontal frontage and recognisable destination silhouette","Reads as American supermarket/fire station; cars text clock tower and planting cause clutter",high_street_leisure_01,streeters_supermarket_shell,"Rebuild as converted warehouse or restrained urban venue"
building_pipe_factory,industrial,factory_hall,industrial_edge,victorian_industrial,2,3,flat,brick_and_corrugated_metal,accent,missing,"Placeholder suggests a usable industrial material palette","Exact Garage geometry; lacks long shed roof vents stacks loading rhythm and pipe-making identity",industrial_edge_03,acme_business_park_shell,"Missing model: create unique factory-hall geometry"
building_pirate_radio,media,converted_tower_block,contemporary_regeneration,postwar,10,repeated_narrow_bays,flat,concrete_and_glass,accent,missing,"Placeholder has a strong vertical silhouette","Exact Tower Residence C geometry; no broadcast or adaptive-reuse massing",postwar_media_01,tower_of_tomorrow_shell,"Missing model: create unique converted broadcast-building geometry"
building_postwar_midblock,mixed_use,midblock_shop_and_flats,postwar_estate,postwar,2,2,flat,painted_render,background,major_rework,"Simple mesh-friendly mass and expressed ground floor","Toy-like proportions; awning dominates; too few repeated units to read as mid-block",postwar_residential_01,legacy_building_small_d_shell,"Extend to 3-4 bays and improve opening logic"
building_postwar_terrace,residential,short_terrace,postwar_estate,postwar,2,2,flat,painted_render,background,major_rework,"Simple volume and low detail suit reconstruction","Reads as a single box not attached housing; weak entrances and no terrace rhythm",postwar_residential_02,legacy_building_small_a_shell,"Generate as 3-5 attached units with repeated door-window modules"
building_postwar_tower_block,residential,walkup_or_point_block,postwar_estate,postwar,4,2,flat,painted_render,accent,replace,"Readable vertical mass","Too narrow and short for tower block; purple palette and oversized trim are stylistically detached",postwar_residential_03,legacy_building_small_c_shell,"New 8-12 storey point/slab family required"
